"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"X2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"3604";"Orycteropus_afer";0,003929;78,576071;78,58;1878;1;1;78,8259446968824;97,668125;0,0146913455567603;0,0158778178067106;78,58;106,972960041159;"Tubulidentata";"Orycteropodidae";"Orycteropus";"afer";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";52350,4;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";20822455,9361338;"Orycteropus afer"
"1388";"Dromiciops_gliroides";0,25672;63,92328;64,18;931;2;2;64,5191670107549;86,465625;0,024091689214168;0,02382929604825;64,18;181,799103069799;"Microbiotheria";"Microbiotheriidae";"Dromiciops";"gliroides";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";22,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"NT";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";270058,686112648;"Dromiciops gliroides"
"4351";"Ptilocercus_lowii";0,002794;55,877206;55,88;1927;3;3;57,2510962664791;72,676328125;0,0054041010591192;0,00620727513328187;55,88;94,3142085405591;"Scandentia";"Ptilocercidae";"Ptilocercus";"lowii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";41,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";30;30;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";893987,374717731;"Ptilocercus lowii"
"3386";"Neurotrichus_gibbsii";0,0026;51,9974;52;1931;4;4;52,5940632306622;66,5087890625;0,00249323991542533;0,00300989070852346;52;94,964174241125;"Eulipotyphla";"Talpidae";"Neurotrichus";"gibbsii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";8,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";10;0;90;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";419056,581898937;"Neurotrichus gibbsii"
"227";"Aplodontia_rufa";0,002456;49,117544;49,12;1937;5;6;49,2172847998891;57,6928955078125;0,00122560420815249;0,0015250213592602;49,12;87,8090550505917;"Rodentia";"Aplodontiidae";"Aplodontia";"rufa";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1004;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";558742,109198582;"Aplodontia rufa"
"3231";"Mystacina_tuberculata";2,36033733;44,84640927;47,2067466;218;6;7;38,1629291767747;41,8697548828125;0,000364970610840209;0,000477020997577546;28,34822;90,2403740250386;"Chiroptera";"Mystacinidae";"Mystacina";"tuberculata";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";12,6;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"VU";"No";11;0;89;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";195559,738219504;"Mystacina tuberculata"
"861";"Craseonycteris_thonglongyai";2,3125;43,9375;46,25;225;7;10;47,7170219255488;52,0612548828125;0,000939320626905142;0,00120200276199498;46,25;91,5318950437318;"Chiroptera";"Craseonycteridae";"Craseonycteris";"thonglongyai";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";2,2;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";65186,5794065013;"Craseonycteris thonglongyai"
"2200";"Laonastes_aenigmamus";0,0021565;43,1278435;43,13;1947;8;11;46,1658983343086;54,8278955078125;0,00119802172269616;0,00150140755076753;43,13;88,3792368375922;"Rodentia";"Diatomyidae";"Laonastes";"aenigmamus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";375;"Reported";"Francis CM. A Guide to the Mammals of Southeast Asia (2008)";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";37249,4739465721;"Laonastes aenigmamus"
"1910";"Heterocephalus_glaber";0,0019987865;39,9737312135;39,97573;1953;9;12;40,5041535475921;43,6176019384766;0,000427409829295257;0,000558861729503027;39,97573;87,6879712262048;"Rodentia";"Bathyergidae";"Heterocephalus";"glaber";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";55;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1722788,17002896;"Heterocephalus glaber"
"3239";"Nandinia_binotata";0,001983;39,658017;39,66;1954;10;13;39,8888958612253;53,9087548828125;0,00115089388113675;0,00141057731974265;39,66;93,2446990224661;"Carnivora";"Nandiniidae";"Nandinia";"binotata";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";80;10;10;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";7272959,78806821;"Nandinia binotata"
"1178";"Cyclopes_didactylus";0,00193250000011081;38,6480675022161;38,6500000022162;1955;11;15;43,8194889198676;57,22390625;0,00815955296560091;0,00898717426115763;38,65;105,081013548276;"Pilosa";"Cyclopedidae";"Cyclopes";"didactylus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";329,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";9256494,27572318;"Cyclopes didactylus"
"5137";"Tarsipes_rostratus";0,001906;38,118094;38,12;1956;12;16;38,8233704144111;42,2533251953125;0,00337208095310261;0,00373405648403978;38,12;181,198221574344;"Diprotodontia";"Tarsipedidae";"Tarsipes";"rostratus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";465618,424332152;"Tarsipes rostratus"
"2034";"Hyemoschus_aquaticus";0,00182786475000001;36,5554671352501;36,5572950000001;1959;13;18;37,1805071030168;40,5952112207031;0,00072863258951711;0,000953639049370102;36,557295;92,6744188012348;"Cetartiodactyla";"Tragulidae";"Hyemoschus";"aquaticus";1;0;1;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";10850;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";3175517,65394528;"Hyemoschus aquaticus"
"3596";"Ornithorhynchus_anatinus";0,14668170462853;36,523744452504;36,6704261571325;1089;14;17;62,5514285714286;127,255;0,114005359873141;0,0776899111759201;36,67;217,616220202367;"Monotremata";"Ornithorhynchidae";"Ornithorhynchus";"anatinus";1;0;1;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1484,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"NT";"No";0;20;80;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1471354,2208896;"Ornithorhynchus anatinus"
"4688";"Scaptonyx_fusicaudus";0,00166453650042211;33,2890654719418;33,2907300084423;1964;15;21;34,8900967358887;45,893426015625;0,00116005015631362;0,00146443448805054;33,29073;94,8783443097239;"Eulipotyphla";"Talpidae";"Scaptonyx";"fusicaudus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";12;"Reported";"Smith, A. T., et al., editors. 2008. A Guide to the Mammals of China. Princeton University Press, Princeton.";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Estimated Expert Species";"Smith, A. T., et al., editors. 2008. A Guide to the Mammals of China. Princeton University Press, Princeton.";1247857,37721017;"Scaptonyx fusicaudus"
"2401";"Loxodonta_africana";1,7506708215625;33,2627456096875;35,01341643125;323;16;19;15,9300626988107;16,761351328125;0,000901511429259746;0,00107522194746284;11,576655;106,786186546904;"Proboscidea";"Elephantidae";"Loxodonta";"africana";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";4400000;"Reported";"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.";NA;NA;"Occurs on mainland";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";8660502,69257802;"Loxodonta africana"
"2084";"Hypsiprymnodon_moschatus";0,001607;32,138393;32,14;1966;17;23;26,136171460471;30,2113176953125;0,0024243329590184;0,00269866201905661;18,985985;180,976054876522;"Diprotodontia";"Hypsiprymnodontidae";"Hypsiprymnodon";"moschatus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";520;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";30;0;70;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";74498,9478931443;"Hypsiprymnodon moschatus"
"3919";"Phascolarctos_cinereus";1,626000196716;30,894003737604;32,52000393432;345;18;22;34,607004278483;46,4166015625;0,00571170596652593;0,00611023605585826;32,52;181,368604013034;"Diprotodontia";"Phascolarctidae";"Phascolarctos";"cinereus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";10250;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1760037,64397553;"Phascolarctos cinereus"
"1249";"Daubentonia_madagascariensis";21,6552;29,9048;51,56;6;19;5;41,0073821658163;44,846311015625;0,00175250445850851;0,00216516704346024;30,05979;93,2288149185388;"Primates";"Daubentoniidae";"Daubentonia";"madagascariensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2500;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";60;0;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";419056,581898937;"Daubentonia madagascariensis"
"1392";"Dugong_dugon";1,522212125;28,922030375;30,4442425;370;20;25;28,2123090757644;34,38012375;0,00341337534728667;0,00398278753929479;11,06353;106,898517513291;"Sirenia";"Dugongidae";"Dugong";"dugon";0;1;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";310000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Exclusively marine";"VU";"No";100;0;0;"Reported Observed Species";"André, J., et al. 2005. Comparison of the diets of sympatric dugongs and green turtles on the Orman Reefs, Torres Strait, Australia. Wildlife Research 32:53-62.";15849651,1642664;"Dugong dugon"
"4558";"Rhinopoma_hardwickii";0,0014152153853712;28,3028924920386;28,304307707424;1974;21;27;25,9305152588822;25,8380699414062;0,00040053450618337;0,000521223287545278;11,58419;91,5218913916995;"Chiroptera";"Rhinopomatidae";"Rhinopoma";"hardwickii";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";14,2;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";19388351,1891908;"Rhinopoma hardwickii"
"2035";"Hyladelphys_kalinowskii";0,00141287775;28,25614212225;28,257555;1975;22;28;29,039973803223;49,143125;0,00835061280368376;0,00825891409557535;28,257555;181,546499314869;"Didelphimorphia";"Didelphidae";"Hyladelphys";"kalinowskii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";16,3;"Reported";"Bulletin of the American Museum of Natural History 263:1-236 (2001)";NA;NA;"Occurs on mainland";"LC";"No";80;0;20;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";2886834,23085934;"Hyladelphys kalinowskii"
"1610";"Felovia_vae";0,11058176;27,53485824;27,64544;1171;23;31;33,7782503343086;41,2366677539062;0,00078992173502712;0,00101508768878775;27,64544;88,368614604699;"Rodentia";"Ctenodactylidae";"Felovia";"vae";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";205;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"DD";"No";100;0;0;"Estimated Expert Species";"Wilson, D. E., et al., editors. 2016. Handbook of the Mammals of the World: 6. Lagomorphs and Rodents I. First edition. Lynx Edicions, Barcelona.";214184,47519279;"Felovia vae"
"5307";"Trichys_fasciculata";0,001375;27,498625;27,5;1976;24;32;29,2529395524761;42,6389477539063;0,000367019802735755;0,000475110703466746;27,5;87,7503361344538;"Rodentia";"Hystricidae";"Trichys";"fasciculata";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1655;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1750725,27548889;"Trichys fasciculata"
"2968";"Mosia_nigrescens";0,001344362;26,885895638;26,88724;1978;25;34;28,2980523821131;33,6147784155273;0,000117130503132083;0,000158862170379698;26,88724;90,3174532858858;"Chiroptera";"Emballonuridae";"Mosia";"nigrescens";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";3,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on large land bridge islands";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2495714,75442033;"Mosia nigrescens"
"4816";"Solenodon_cubanus";19,45038291;26,86005259;46,3104355;8,5;26,5;8,5;33,1943742105157;36,11177453125;0,0016610078687552;0,00207358209776132;15,1452;95,2664027593895;"Eulipotyphla";"Solenodontidae";"Solenodon";"cubanus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";650;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";40;30;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";18624,7369732861;"Atopogale cubana"
"4817";"Solenodon_paradoxus";19,45038291;26,86005259;46,3104355;8,5;26,5;8,5;35,797958543849;38,13907265625;0,00164727867403816;0,00206042465368539;17,82606;95,2672309801063;"Eulipotyphla";"Solenodontidae";"Solenodon";"paradoxus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";900;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"EN";"No";40;30;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";121060,790326359;"Solenodon paradoxus"
"1330";"Dinomys_branickii";1,4095;26,7805;28,19;403;28;29;29,6655958522831;35,6261184692383;0,000173368786658173;0,00023282910942339;28,19;87,3508609157949;"Rodentia";"Dinomyidae";"Dinomys";"branickii";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";12500;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2626087,91323334;"Dinomys branickii"
"2468";"Macrotis_lagotis";1,3995;26,5905;27,99;408;29;30;17,7330775319508;19,669599140625;0,00288735652791346;0,00305153937408594;7,584385;181,534247750815;"Peramelemorphia";"Thylacomyidae";"Macrotis";"lagotis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1350;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";10;20;70;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1517916,06332281;"Macrotis lagotis"
"3888";"Petromus_typicus";0,0013080000019825;26,158692039648;26,16000003965;1979;30;35;31,8388055475921;36,7097369384766;0,000304110947905988;0,000403980086519311;26,16;87,6874395472475;"Rodentia";"Petromuridae";"Petromus";"typicus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";224;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";642553,42557837;"Petromus typicus"
"2199";"Lampronycteris_brachyotis";0,00129403075;25,87932096925;25,880615;1980;31;37;26,8669476519329;31,6322198327637;7,75438567942316e-05;0,000107146355707042;25,880615;89,7873825330132;"Chiroptera";"Phyllostomidae";"Lampronycteris";"brachyotis";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";11;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";20;0;80;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";4823806,87608109;"Lampronycteris brachyotis"
"1929";"Hippopotamus_amphibius";1,36012;25,84228;27,2024;414;32;33;11,8479752468759;10,1790818603516;0,000242261023133171;0,000307653138990615;2,2078;93,34686121077;"Cetartiodactyla";"Hippopotamidae";"Hippopotamus";"amphibius";1;1;1;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";1417490;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";5671232,40836561;"Hippopotamus amphibius"
"5162";"Taxidea_taxus";0,00129;25,79871;25,8;1981;33;38;26,1749821125071;28,9835548400879;0,000193221117425905;0,000252005746670526;25,8;92,9586880466472;"Carnivora";"Mustelidae";"Taxidea";"taxus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";7107,6;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";4;88;8;"Reported 000 Species";"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.";10187731,1243875;"Taxidea taxus"
"1687";"Geogale_aurita";0,00128319425;25,66260180575;25,663885;1983;34;39;26,6787209271361;35,38608515625;0,0019923918874841;0,00237735807713848;24,97189;106,627928682902;"Afrosoricida";"Tenrecidae";"Geogale";"aurita";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";7;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"LC";"No";0;30;70;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";139685,527299646;"Geogale aurita"
"5352";"Typhlomys_cinereus";0,0012775381375;25,5494852118625;25,55076275;1984;35;41;36,9630053062347;39,7632963769531;0,000479608021751334;0,000628576715549261;24,287645;83,5610645935517;"Rodentia";"Platacanthomyidae";"Typhlomys";"cinereus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";24,5;"Reported";"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1489978,95786289;"Typhlomys cinereus"
"589";"Cardioderma_cor";0,00127559611232715;25,5106466504307;25,511922246543;1985;36;42;31,2840781755488;32,3212662207031;0,000394106663891673;0,000521182005742926;25,511905;91,5179696398559;"Chiroptera";"Megadermatidae";"Cardioderma";"cor";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";27,8;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2858897,12539941;"Cardioderma cor"
"646";"Ceratotherium_simum";0,102270778584343;25,4654238675015;25,5676946460858;1199;37;40;23,917532513787;25,1559031103516;0,00056769576433839;0,00073154429056724;13,483985;94,8571105547933;"Perissodactyla";"Rhinocerotidae";"Ceratotherium";"simum";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2949986,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"NT";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";5568796,35501254;"Ceratotherium simum"
"2593";"Megaderma_spasma";0,00125757862120001;25,1503148453789;25,1515724240001;1987;38;43;31,1129131755488;32,1410737207031;0,000382505940976639;0,00050670440186307;25,15152;91,5178659835363;"Chiroptera";"Megadermatidae";"Megaderma";"spasma";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";25,4;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;60;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";6742154,78432956;"Megaderma spasma"
"46";"Acrobates_pygmaeus";0,00125504235;25,09959195765;25,100847;1988,5;39,5;45,5;34,1508704144111;35,7433251953125;0,00313150587079091;0,00348666614977349;25,1;181,216156748414;"Diprotodontia";"Acrobatidae";"Acrobates";"pygmaeus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";12;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";20;0;80;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1843848,96035532;"Acrobates pygmaeus"
