"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"X2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"1597";"Exilisciurus_concinnus";0,00054926066940679;10,9846641274664;10,9852133881358;2202;302;357;15,7704381261205;18,5433622735596;7,07631107930405e-05;9,33987575542311e-05;10,98501;86,994822091408;"Rodentia";"Sciuridae";"Exilisciurus";"concinnus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";30,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs only on isolated islands";"LC";"No";80;0;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";335245,265519149;"Exilisciurus concinnus"
"3525";"Ochotona_pusilla";0,00054893;10,97805107;10,9786;2203;303;358;13,0353247352733;17,0865217358398;0,000278002453045786;0,00034882998850062;10,9786;92,4233232198594;"Lagomorpha";"Ochotonidae";"Ochotona";"pusilla";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";142,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1964909,75068168;"Ochotona pusilla"
"1456";"Emballonura_serii";0,0005484073277375;10,9675981474223;10,96814655475;2204;304;359;14,3872725838387;17,1617265588379;3,93858570376999e-05;5,42582738915658e-05;10,686415;90,3014249425485;"Chiroptera";"Emballonuridae";"Emballonura";"serii";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";8,8;"Assumed isometric based on forearm length";"Mammalia 58: 601-612 (2009)";"Emballonura_furax";"Mammalia 58: 601-612 (2009)";"Occurs on large land bridge islands";"LC";"No";0;0;100;"Transformed 000 Species";"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.";102436,053353073;"Emballonura serii"
"226";"Aotus_zonalis";0,000546837325;10,936199662675;10,9367465;2205;305;360;13,0109765780712;14,5465273132324;9,93974285712184e-05;0,000123893396508824;10,460825;91,2951317912879;"Primates";"Aotidae";"Aotus";"zonalis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";902,5;"Reported";"Campbell, C., Fuentes, A., MacKinnon, K., Panger, M., & Bearder, S (2007)  Primates in Perspective. pp. 139-150. Fernandez-Duque, E. (2007). ""Aotinae"".";NA;NA;"Occurs on mainland";"DD";"No";80;0;20;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";391119,476439007;"Aotus zonalis"
"3047";"Mustela_africana";0,00054680275;10,93550819725;10,936055;2206;306;361;11,7541982500107;14,4622024987507;1,4151424610126e-05;1,92873267924249e-05;10,936055;92,8580692719945;"Carnivora";"Mustelidae";"Mustela";"africana";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";537;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";5;85;10;"Imputed 000 Species";"PHYLACINE 1.2";5792293,19869197;"Mustela africana"
"4692";"Sciurotamias_davidianus";0,0005466153375625;10,9317601359124;10,93230675125;2207,5;307,5;362,5;16,7054581834549;18,430377724762;5,66609821591299e-05;7,59419656143173e-05;10,9315;86,8705976444864;"Rodentia";"Sciuridae";"Sciurotamias";"davidianus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";433,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1881098,43430189;"Sciurotamias davidianus"
"4693";"Sciurotamias_forresti";0,0005466153375625;10,9317601359124;10,93230675125;2207,5;307,5;362,5;16,7054581834549;18,430377724762;5,66609821177038e-05;7,59419658004311e-05;10,9315;86,8705976444864;"Rodentia";"Sciuridae";"Sciurotamias";"forresti";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";433,5;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Transformed 000 Species";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";484243,161305438;"Sciurotamias forresti"
"174";"Amorphochilus_schnablii";0,575056800000045;10,9260792000008;11,5011360000009;695;309;318;24,7648646707284;25,5112506103516;0,000142233693454128;0,000192022714539322;11,5;90,0077602469559;"Chiroptera";"Furipteridae";"Amorphochilus";"schnablii";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";3,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";586679,214658511;"Amorphochilus schnablii"
"5302";"Trichechus_manatus";0,5738794584375;10,9037097103125;11,47758916875;697;310;320;26,0671717206919;34,1533359375;0,00312350264355401;0,0036568469123029;11,26896;106,895771131881;"Sirenia";"Trichechidae";"Trichechus";"manatus";0;1;1;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";341000;"Reported";"Kipps, E. K., et al. 2002. Skin density and its influence on buoyancy in the manatee (Trichechus manatus latirostris), harbor porpoise (Phocoena phocoena), and bottlenose dolphin (Tursiops truncatus). Marine Mammal Science 18:765-778.";NA;NA;"Occurs on mainland";"VU";"No";100;0;0;"Reported Observed Species";"Castelblanco-Martínez, D. N., et al. 2009. Diet of the manatees (Trichechus manatus manatus) in Chetumal Bay, Mexico. Latin American Journal of Aquatic Mammals 7:39-46.";4376813,18872223;"Trichechus manatus"
"4153";"Prionodon_linsang";0,000545046375;10,900382453625;10,9009275;2209,5;311,5;365,5;20,5263253484048;23,6498443603516;0,000245986013427773;0,000315639731820739;10,9;93,0626101869319;"Carnivora";"Prionodontidae";"Prionodon";"linsang";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";700;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;70;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2290842,64771419;"Prionodon linsang"
