"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"2812";"Naemorhedus_baileyi";1301,5;0,072115117;"5 Law & policy"
"2829";"Naemorhedus_griseus";1301,5;0,072115117;"1 Land/water protection"
"2831";"Naemorhedus_griseus";1301,5;0,072115117;"2 Land/water management"
"2832";"Naemorhedus_griseus";1301,5;0,072115117;"3 Species management"
"2835";"Naemorhedus_griseus";1301,5;0,072115117;"4 Education & awareness"
"2836";"Naemorhedus_griseus";1301,5;0,072115117;"5 Law & policy"
"3468";"Phyllotis_anitae";1303;0,072077786;"1 Land/water protection"
"1425";"Gazella_gazella";1304;0,07177826;"2 Land/water management"
"1426";"Gazella_gazella";1304;0,07177826;"5 Law & policy"
"841";"Choeroniscus_periosus";1305;0,0715364;"1 Land/water protection"
"843";"Choeroniscus_periosus";1305;0,0715364;"2 Land/water management"
"3901";"Pteropus_vetulus";1306;0,071488648;"1 Land/water protection"
"3902";"Pteropus_vetulus";1306;0,071488648;"2 Land/water management"
"2925";"Neotamias_bulleri";1307;0,07147925;"1 Land/water protection"
"1919";"Lepus_corsicanus";1308;0,071425;"1 Land/water protection"
"1921";"Lepus_corsicanus";1308;0,071425;"2 Land/water management"
"1922";"Lepus_corsicanus";1308;0,071425;"3 Species management"
"1929";"Lepus_corsicanus";1308;0,071425;"4 Education & awareness"
"1931";"Lepus_corsicanus";1308;0,071425;"5 Law & policy"
"1110";"Dendrolagus_dorianus";1309;0,071247691;"None"
"3356";"Peromyscus_zarhynchus";1310;0,071012881;"None"
"2674";"Mus_mayori";1311;0,070972308;"2 Land/water management"
"1038";"Ctenomys_sericeus";1312;0,070719797;"None"
"1016";"Ctenomys_coyhaiquensis";1313;0,070498793;"None"
"1772";"Komodomys_rintjanus";1314;0,070469893;"None"
"2482";"Mico_leucippe";1315;0,070451986;"1 Land/water protection"
"2483";"Mico_leucippe";1315;0,070451986;"2 Land/water management"
"4537";"Sylvilagus_transitionalis";1316;0,069949197;"1 Land/water protection"
"4539";"Sylvilagus_transitionalis";1316;0,069949197;"2 Land/water management"
"4541";"Sylvilagus_transitionalis";1316;0,069949197;"3 Species management"
"4546";"Sylvilagus_transitionalis";1316;0,069949197;"4 Education & awareness"
