"";"species";"LEDGE_rank";"LEDGE";"conservation_classification";"introduced"
"1197";"Macroscelides_proboscideus";1149,5;4,554427618;"1 Land/water protection";"no"
"1198";"Macroscelides_proboscideus";1149,5;4,554427618;"4 Education & awareness";"no"
"4";"Abrocoma_budini";1151;4,54934987;"1 Land/water protection";"no"
"967";"Hylochoerus_meinertzhageni";1152;4,547162633;"2 Land/water management";"no"
"968";"Hylochoerus_meinertzhageni";1152;4,547162633;"3 Species management";"no"
"758";"Eptesicus_fuscus";1153;4,546205033;"2 Land/water management";"no"
"2472";"Tarsius_dentatus";1154;4,544938106;"1 Land/water protection";"no"
"2474";"Tarsius_dentatus";1154;4,544938106;"2 Land/water management";"no"
"2475";"Tarsius_dentatus";1154;4,544938106;"3 Species management";"no"
"2477";"Tarsius_dentatus";1154;4,544938106;"4 Education & awareness";"no"
"2479";"Tarsius_dentatus";1154;4,544938106;"5 Law & policy";"no"
"385";"Cebus_albifrons";1155;4,543155971;"None";"no"
"1506";"Natalus_stramineus";1156;4,532804688;"1 Land/water protection";"no"
"1507";"Natalus_stramineus";1156;4,532804688;"2 Land/water management";"no"
"2195";"Rucervus_duvaucelii";1157;4,530401884;"1 Land/water protection";"no"
"2197";"Rucervus_duvaucelii";1157;4,530401884;"2 Land/water management";"no"
"2199";"Rucervus_duvaucelii";1157;4,530401884;"3 Species management";"no"
"2206";"Rucervus_duvaucelii";1157;4,530401884;"4 Education & awareness";"no"
"2207";"Rucervus_duvaucelii";1157;4,530401884;"5 Law & policy";"no"
"148";"Antilope_cervicapra";1158;4,51986294;"1 Land/water protection";"no"
"2257";"Sciurus_pucheranii";1159;4,516919143;"None";"no"
"453";"Chionomys_nivalis";1160;4,508614561;"None";"no"
"2490";"Tarsius_pelengensis";1161;4,507741917;"1 Land/water protection";"no"
"2491";"Tarsius_pelengensis";1161;4,507741917;"2 Land/water management";"no"
"9";"Acinonyx_jubatus";1162;4,505066253;"1 Land/water protection";"no"
"11";"Acinonyx_jubatus";1162;4,505066253;"2 Land/water management";"no"
"13";"Acinonyx_jubatus";1162;4,505066253;"3 Species management";"no"
"19";"Acinonyx_jubatus";1162;4,505066253;"4 Education & awareness";"no"
"22";"Acinonyx_jubatus";1162;4,505066253;"5 Law & policy";"no"
"30";"Acinonyx_jubatus";1162;4,505066253;"6 Livelihood, economic & other incentives";"no"
"890";"Heliosciurus_mutabilis";1163;4,50397979;"None";"no"
"1440";"Myotis_goudoti";1164;4,499484265;"2 Land/water management";"no"
"626";"Dasyprocta_prymnolopha";1165;4,497788831;"None";"no"
"5";"Abrocoma_cinerea";1166;4,496558245;"None";"no"
"1930";"Podomys_floridanus";1167;4,490387085;"1 Land/water protection";"no"
"1931";"Podomys_floridanus";1167;4,490387085;"2 Land/water management";"no"
"1384";"Murexia_habbema";1168;4,48017048;"None";"no"
"1385";"Murexia_rothschildi";1169;4,479682219;"None";"no"
"2376";"Spilocuscus_papuensis";1170;4,478585251;"None";"no"
"747";"Enhydra_lutris";1171;4,47748451;"2 Land/water management";"no"
"749";"Enhydra_lutris";1171;4,47748451;"3 Species management";"no"
"1537";"Notomys_cervinus";1172;4,4771694;"1 Land/water protection";"no"
"1539";"Notomys_cervinus";1172;4,4771694;"2 Land/water management";"no"
"1679";"Otomops_johnstonei";1173;4,477083301;"None";"no"
"1109";"Lepilemur_petteri";1174;4,474725755;"None";"no"
"524";"Corynorhinus_rafinesquii";1175;4,474103093;"1 Land/water protection";"no"
"525";"Corynorhinus_rafinesquii";1175;4,474103093;"2 Land/water management";"no"
"1684";"Otomops_papuensis";1176;4,469832811;"None";"no"
"1932";"Podoxymys_roraimae";1177;4,469672501;"None";"no"
"1407";"Myomyscus_angolensis";1178;4,466793547;"None";"no"
"1327";"Molossus_pretiosus";1179;4,466331055;"2 Land/water management";"no"
"6";"Abrocoma_famatina";1180;4,463109245;"2 Land/water management";"no"
"2375";"Spilocuscus_maculatus";1181;4,455960052;"None";"yes"
"792";"Eumops_maurus";1182;4,455791909;"None";"no"
"192";"Arvicola_sapidus";1183;4,452849507;"1 Land/water protection";"no"
"193";"Arvicola_sapidus";1183;4,452849507;"2 Land/water management";"no"
"195";"Arvicola_sapidus";1183;4,452849507;"3 Species management";"no"
"199";"Arvicola_sapidus";1183;4,452849507;"4 Education & awareness";"no"
