"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1565";"Eumops_hansae";"Chiroptera";"Molossidae";"LC";"LC";0;13,1724146818962;533;2,65129744722263;1920;0,000482755000419622;2260;9,65461725339201;380
"1566";"Eumops_maurus";"Chiroptera";"Molossidae";"DD";"LC";0;8,35786179604479;1274;2,23621682379947;2633;0,0002228007354875;2820;4,45579190901451;1182
"1567";"Eumops_patagonicus";"Chiroptera";"Molossidae";"LC";"LC";0;11,6383966618985;678;2,53673953430424;2092;0,000228708499602993;2799;4,57394128356026;1143
"1568";"Eumops_perotis";"Chiroptera";"Molossidae";"LC";"LC";0;10,50240767691;819;2,44255637666535;2233;0,00027749423375;2605;5,54960718076625;879
"1569";"Eumops_trumbulli";"Chiroptera";"Molossidae";"LC";"LC";0;10,6180142499713;804;2,45255684611213;2217;0,0002762507039625;2607;5,52473782854604;884
"1570";"Eumops_underwoodi";"Chiroptera";"Molossidae";"LC";"LC";0;6,91205914423146;1783;2,06838806954923;3048;0,000109630971880635;3789;2,19250980664083;2563
"1571";"Eumops_wilsoni";"Chiroptera";"Molossidae";"DD";"NT";1;7,55687072836778;1546;2,839881734761;1610;0,00845752633721412;1743;2,10592405796632;2649
"1572";"Euneomys_chinchilloides";"Rodentia";"Cricetidae";"DD";"NT";1;4,29655483755065;3168;2,36020375910568;2383;0,00639425310022156;1780;1,59216902195517;3222
"1573";"Euneomys_fossor";"Rodentia";"Cricetidae";"DD";"VU";2;4,48895786573771;3037;3,08903277453097;1340;0,0904177204007688;1235;1,71793668761461;3052
"1574";"Euneomys_mordax";"Rodentia";"Cricetidae";"LC";"LC";0;4,373983549803;3122;1,68156944911735;3954;8,12768666798489e-05;4189;1,6254560567303;3186
"1575";"Euneomys_petersoni";"Rodentia";"Cricetidae";"LC";"LC";0;4,44500780345824;3079;1,69469918952591;3923;9,33926122675088e-05;3997;1,86775885273791;2899
"1576";"Euoticus_elegantulus";"Primates";"Galagidae";"LC";"LC";0;16,5331604381197;243,5;2,86409397008319;1576,5;0,000482738114375;2261,5;9,65427954938562;381,5
"1577";"Euoticus_pallidus";"Primates";"Galagidae";"LC";"LC";0;16,5331604381197;243,5;2,86409397008319;1576,5;0,000482738114375;2261,5;9,65427954938562;381,5
