"";"hedge_median";"hedge_sd";"ledge_median";"ledge_sd";"hed_median";"hed_sd"
"Gorilla_gorilla";7,27740212034236;1,54940997824338;0,225074292381723;0,0479198962343313;7,50247641272408;1,59732987447771
"Gorilla_beringei";7,27740212034236;1,54940997824338;0,225074292381723;0,0479198962343313;7,50247641272408;1,59732987447771
"Isothrix_barbarabrownae";7,0576506;0,963684866989968;9,7462794;1,33080291155758;16,80393;2,29448777854754
"Bradypus_pygmaeus";6,96160415067665;1,62606981130342;0,215307344866288;0,0502908189062913;7,17691149554294;1,67636063020971
"Propithecus_perrieri";6,91251836167268;2,5398797231192;0,213789227680599;0,078552981127398;7,12630758935328;2,6184327042466
"Lepilemur_jamesorum";6,76758937388298;1,9402643356652;0,209306887852051;0,0600081753298515;6,97689626173503;2,00027251099505
"Galagoides_rondoensis";6,687110063;1,39311007273017;0,206817837;0,0430858785380467;6,8939279;1,43619595126822
"Tokudaia_muenninki";6,55068715228;2,80850219988961;0,20259857172;0,086860892780091;6,753285724;2,8953630926697
"Manis_javanica";6,41799050469151;1,46628384724005;0,19849455169149;0,0453489849661871;6,616485056383;1,51163283220624
"Callistomys_pictus";6,363772004205;1,03922889625489;8,788066101045;1,4351256186377;15,15183810525;2,47435451489259
"Sapajus_xanthosternos";6,36053735;3,34873308926709;0,19671765;0,103569064616508;6,557255;3,4523021538836
"Caprolagus_hispidus";6,3;0;8,7;0;15;0
"Mirimiri_acrodonta";6,18762616633539;2,62073814167274;0,191369881433054;0,0810537569589508;6,37899604776844;2,70179189863169
"Saiga_tatarica";6,1172759;2,44527748685253;0,1891941;0,075627138768635;6,30647;2,52090462562116
"Leimacomys_buettneri";6,0686073;2,2429078256363;8,3804577;3,09734890206918;14,449065;5,34025672770549
"Procyon_pygmaeus";6,00563375936757;1,83525276579707;0,185741250289719;0,0567603948184662;6,19137500965729;1,89201316061554
"Petaurus_abidi";5,98305700000036;2,41208249737569;0,185043000000011;0,0746004896095575;6,16810000000037;2,48668298698525
"Nomascus_nasutus";5,97354034632417;1,23944918305591;0,184748670504871;0,0383334798883272;6,15828901682904;1,27778266294424
"Nomascus_hainanus";5,97354034632417;1,23944918305591;0,184748670504871;0,0383334798883272;6,15828901682904;1,27778266294424
"Lepilemur_milanoii";5,90632470865282;1,57114843591181;8,15635316909199;2,16968117340202;14,0626778777448;3,74082960931382
"Propithecus_candidus";5,90041039242835;3,81757105167021;0,182486919353454;0,118069207783615;6,0828973117818;3,93564025945383
"Brachyteles_hypoxanthus";5,87811033069958;2,03979933260967;0,181797226722668;0,0630865772972065;6,05990755742225;2,10288590990688
"Pteronura_brasiliensis";5,8733682;0,411455251518248;8,1108418;0,568200109239485;13,98421;0,979655360757733
"Cynogale_bennettii";5,8133100972072;0,75138694202356;8,0279044199528;1,03762958660396;13,84121451716;1,78901652862752
"Neohylomys_hainanensis";5,63685906144213;1,10681895384645;7,78423394199151;1,52846426959748;13,4210930034336;2,63528322344393
"Tympanoctomys_loschalchalerosorum";5,63500734865962;4,44998648482623;0,174278577793597;0,137628447984316;5,80928592645322;4,58761493281054
"Aproteles_bulmerae";5,5316105125;2,40298938662439;0,1710807375;0,0743192593801359;5,70269125;2,47730864600453
