"";"species";"range_size"
"143";"Alouatta_discolor";595991,583145154
"144";"Alouatta_guariba";1471354,2208896
"145";"Alouatta_macconnelli";2160469,48890118
"146";"Alouatta_nigerrima";391119,476439007
"147";"Alouatta_palliata";1164046,06083038
"148";"Alouatta_pigra";381807,107952364
"149";"Alouatta_sara";558742,109198582
"150";"Alouatta_seniculus";0
"151";"Alouatta_ululata";204872,106706147
"152";"Alticola_albicaudus";148997,895786289
"153";"Alticola_argentatus";2039408,69857482
"154";"Alticola_barakshin";586679,214658511
"155";"Alticola_lemminus";3436263,97157128
"156";"Alticola_macrotis";1061610,00747731
"157";"Alticola_montosa";74498,9478931443
"158";"Alticola_olchonensis";18624,7369732861
"159";"Alticola_roylei";130373,158813003
"160";"Alticola_semicanus";1080234,74445059
"161";"Alticola_stoliczkanus";2719211,59809977
"162";"Alticola_strelzowi";903299,743204375
"163";"Alticola_tuvinicus";344557,634005792
"164";"Amblyrhiza_inundata";0
"165";"Amblysomus_corriae";148997,895786289
"166";"Amblysomus_hottentotus";391119,476439007
"167";"Amblysomus_marleyi";37249,4739465721
"168";"Amblysomus_robustus";46561,8424332152
"169";"Amblysomus_septentrionalis";139685,527299646
"170";"Ametrida_centurio";6546595,04611005
"171";"Ammodillus_imbellis";242121,580652719
"172";"Ammodorcas_clarkei";242121,580652719
"173";"Ammospermophilus_harrisii";409744,213412294
"174";"Ammospermophilus_interpres";502867,898278724
"175";"Ammospermophilus_leucurus";1508603,69483617
"176";"Ammospermophilus_nelsoni";37249,4739465721
"177";"Ammotragus_lervia";2877521,8623727
"178";"Amorphochilus_schnablii";586679,214658511
"179";"Amphinectomys_savamis";9312,36848664304
"180";"Anathana_ellioti";1750725,27548889
"181";"Andalgalomys_olrogi";139685,527299646
"182";"Andalgalomys_pearsoni";232809,212166076
"183";"Andinomys_edax";456306,055845509
"184";"Anisomys_imitator";428368,95038558
"185";"Anomalurus_beecrofti";3948444,23833665
"186";"Anomalurus_derbianus";6732842,41584291
"187";"Anomalurus_pelii";409744,213412294
"188";"Anomalurus_pusillus";875362,637744445
"189";"Anonymomys_mindorensis";18624,7369732861
"190";"Anotomys_leander";55874,2109198582
"191";"Anoura_caudifer";7217085,57714835
"192";"Anoura_cultrata";1517916,06332281
"193";"Anoura_fistulata";121060,790326359
"194";"Anoura_geoffroyi";10290167,1777406
"195";"Anoura_latidens";1424792,37845638
"196";"Anoura_luismanueli";232809,212166076
"197";"Anourosorex_assamensis";102436,053353073
"198";"Anourosorex_schmidi";65186,5794065013
"199";"Anourosorex_squamipes";1611039,74818925
"200";"Anourosorex_yamashinai";93123,6848664304
"201";"Antechinomys_laniger";3175517,65394528
"202";"Antechinus_adustus";55874,2109198582
"203";"Antechinus_agilis";363182,370979078
"204";"Antechinus_bellus";130373,158813003
"205";"Antechinus_flavipes";1564477,90575603
"206";"Antechinus_godmani";18624,7369732861
"207";"Antechinus_leo";27937,1054599291
"208";"Antechinus_minimus";307308,16005922
"209";"Antechinus_stuartii";251433,949139362
"210";"Antechinus_subtropicus";65186,5794065013
"211";"Antechinus_swainsonii";707740,004984871
"212";"Anthops_ornatus";148997,895786289
"213";"Antidorcas_australis";0
"214";"Antidorcas_bondi";0
"215";"Antidorcas_marsupialis";2449152,91198712
"216";"Antifer_ultra";0
"217";"Antillomys_rayi";0
"218";"Antillothrix_bernensis";0
"219";"Antilocapra_americana";3426951,60308464
"220";"Antilope_cervicapra";2337404,4901474
"221";"Antrozous_pallidus";5326674,77435982
"222";"Aonyx_capensis";13679869,3068786
"223";"Aonyx_cinereus";6956339,25952235
"224";"Aonyx_congicus";3408326,86611135
"225";"Aotus_azarae";3883257,65893015
"226";"Aotus_brumbacki";251433,949139362
"227";"Aotus_griseimembra";446993,687358866
"228";"Aotus_jorgehernandezi";9312,36848664304
"229";"Aotus_lemurinus";484243,161305438
"230";"Aotus_miconax";148997,895786289
"231";"Aotus_nancymaae";754301,847418086
"232";"Aotus_nigriceps";1899723,17127518
"233";"Aotus_trivirgatus";1052297,63899066
"234";"Aotus_vociferans";1359605,79904988
"235";"Aotus_zonalis";391119,476439007
"236";"Aplodontia_rufa";558742,109198582
"237";"Apodemus_agrarius";14285173,2585104
"238";"Apodemus_alpicola";251433,949139362
"239";"Apodemus_argenteus";856737,900771159
"240";"Apodemus_avicennicus";9312,36848664304
"241";"Apodemus_chevrieri";1191983,16629031
"242";"Apodemus_draco";2495714,75442033
"243";"Apodemus_epimelas";437681,318872223
"244";"Apodemus_flavicollis";8306632,69008559
"245";"Apodemus_gurkha";74498,9478931443
