;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;species_currentIUCN.y;code;title;conservation_classification;Imputed.Status;introduced
395;Cephalophus_zebra;0,2581435;4,9047265;5,16287;927;1033;1104;5,334371643;6,011543878;3,32E-06;4,51E-06;4,26835;91,58398173;Cetartiodactyla;Bovidae;Cephalophus;zebra;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;17500,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;90;10;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;204872,1067;Cephalophus zebra;Cephalophus zebra;5.4;Compliance and enforcement;5 Law & policy;VU;no
396;Cephalophus_zebra;0,2581435;4,9047265;5,16287;927;1033;1104;5,334371643;6,011543878;3,32E-06;4,51E-06;4,26835;91,58398173;Cetartiodactyla;Bovidae;Cephalophus;zebra;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;17500,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;90;10;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;204872,1067;Cephalophus zebra;Cephalophus zebra;5.4.2;National level;5 Law & policy;VU;no
397;Ceratotherium_simum;0,102270779;25,46542387;25,56769465;1199;37;40;23,91753251;25,15590311;0,000567696;0,000731544;13,483985;94,85711055;Perissodactyla;Rhinocerotidae;Ceratotherium;simum;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;2949986,3;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5568796,355;Ceratotherium simum;Ceratotherium simum;3.1;Species management;3 Species management;NT;yes
398;Ceratotherium_simum;0,102270779;25,46542387;25,56769465;1199;37;40;23,91753251;25,15590311;0,000567696;0,000731544;13,483985;94,85711055;Perissodactyla;Rhinocerotidae;Ceratotherium;simum;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;2949986,3;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5568796,355;Ceratotherium simum;Ceratotherium simum;3.1.1;Harvest management;3 Species management;NT;yes
399;Ceratotherium_simum;0,102270779;25,46542387;25,56769465;1199;37;40;23,91753251;25,15590311;0,000567696;0,000731544;13,483985;94,85711055;Perissodactyla;Rhinocerotidae;Ceratotherium;simum;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;2949986,3;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5568796,355;Ceratotherium simum;Ceratotherium simum;3.1.2;Trade management;3 Species management;NT;yes
400;Cercartetus_caudatus;0,000962582;19,25066742;19,25163;2015;68;83;25,52211501;30,6053902;0,002415817;0,002697861;19,25163;181,241534;Diprotodontia;Burramyidae;Cercartetus;caudatus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;25;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;744989,4789;Cercartetus caudatus;Cercartetus caudatus;none;none;None;LC;no
401;Cercartetus_concinnus;0,000651839;13,03612318;13,03677502;2098;168;197;21,33932501;21,79924135;0,001582052;0,001782759;13,036775;181,2393874;Diprotodontia;Burramyidae;Cercartetus;concinnus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;13;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1042985,271;Cercartetus concinnus;Cercartetus concinnus;none;none;None;LC;no
402;Cercartetus_lepidus;0,000480057;9,600668261;9,601148318;2265,5;385,5;449,5;19,81966292;15,8210063;0,001270442;0,001438387;9,601005;181,2388738;Diprotodontia;Burramyidae;Cercartetus;lepidus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;270058,6861;Cercartetus lepidus;Cercartetus lepidus;none;none;None;LC;no
403;Cercartetus_nanus;0,000480057;9,600668261;9,601148318;2265,5;385,5;449,5;19,81966292;15,8210063;0,001270442;0,001438387;9,601005;181,2388738;Diprotodontia;Burramyidae;Cercartetus;nanus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;24;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;884675,0062;Cercartetus nanus;Cercartetus nanus;none;none;None;LC;no
404;Cercopithecus_hamlyni;0,310739;5,904041;6,21478;873;808;859;6,792610366;7,752017281;2,18E-05;2,71E-05;6,21478;91,09480866;Primates;Cercopithecidae;Cercopithecus;hamlyni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;6875;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;456306,0558;Cercopithecus hamlyni;Cercopithecus hamlyni;2.1;Site/area management;2 Land/water management;VU;no
405;Cercopithecus_hamlyni;0,310739;5,904041;6,21478;873;808;859;6,792610366;7,752017281;2,18E-05;2,71E-05;6,21478;91,09480866;Primates;Cercopithecidae;Cercopithecus;hamlyni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;6875;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;456306,0558;Cercopithecus hamlyni;Cercopithecus hamlyni;3.1;Species management;3 Species management;VU;no
406;Cercopithecus_hamlyni;0,310739;5,904041;6,21478;873;808;859;6,792610366;7,752017281;2,18E-05;2,71E-05;6,21478;91,09480866;Primates;Cercopithecidae;Cercopithecus;hamlyni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;6875;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;456306,0558;Cercopithecus hamlyni;Cercopithecus hamlyni;3.1.1;Harvest management;3 Species management;VU;no
407;Cercopithecus_hamlyni;0,310739;5,904041;6,21478;873;808;859;6,792610366;7,752017281;2,18E-05;2,71E-05;6,21478;91,09480866;Primates;Cercopithecidae;Cercopithecus;hamlyni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;6875;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;456306,0558;Cercopithecus hamlyni;Cercopithecus hamlyni;3.1.2;Trade management;3 Species management;VU;no
408;Cercopithecus_mitis;0,000209987;4,199520014;4,19973;2880;1261;1448;5,055423914;5,270303172;1,04E-05;1,30E-05;4,19973;91,09259863;Primates;Cercopithecidae;Cercopithecus;mitis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5000;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;10;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4320938,978;Cercopithecus mitis;Cercopithecus mitis;2.1;Site/area management;2 Land/water management;LC;no
409;Cercopithecus_neglectus;0,000241531;4,830383469;4,830625;2736;1057;1216;5,600522889;5,746871938;1,21E-05;1,51E-05;4,830625;91,09315506;Primates;Cercopithecidae;Cercopithecus;neglectus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5480;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;70;10;20;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;2989270,284;Cercopithecus neglectus;Cercopithecus neglectus;2.1;Site/area management;2 Land/water management;LC;no
410;Chacodelphys_formosa;0,02691274;6,70127226;6,728185;1525;682;767;9,293834269;10,57107438;0,000551079;0,000566357;6,728185;181,4364777;Didelphimorphia;Didelphidae;Chacodelphys;formosa;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;10;Reported;Bulletin of the American Museum of Natural History 322 :1-177 (2009);NA;NA;Occurs on mainland;NT;No;0;0;100;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;55874,21092;Chacodelphys formosa;Chacodelphys formosa;2.1;Site/area management;2 Land/water management;NT;no
411;Chaerephon_chapini;0,00020426;4,084990753;4,085195012;2927;1319;1513;7,406607406;7,501389165;3,25E-06;4,70E-06;4,0179;89,58077192;Chiroptera;Molossidae;Chaerephon;chapini;0;0;0;1;Taxonomic;PHYLACINE 1.2;10;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5028678,983;Chaerephon chapini;Chaerephon chapini;2.1;Site/area management;2 Land/water management;LC;no
412;Chaerephon_jobensis;0,000199865;3,997105437;3,997305302;2956;1356;1557;7,129052424;7,357835599;2,90E-06;4,20E-06;3,660155;89,58034825;Chiroptera;Molossidae;Chaerephon;jobensis;0;0;0;1;Taxonomic;PHYLACINE 1.2;16,9;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;3305890,813;Chaerephon jobensis;Chaerephon jobensis;none;none;None;LC;no
413;Chaerephon_jobimena;0,000634402;12,6874056;12,68804;2111;183;215;14,53492413;17,43170065;1,43E-05;2,06E-05;12,52804;89,60460705;Chiroptera;Molossidae;Chaerephon;jobimena;0;0;0;1;Taxonomic;PHYLACINE 1.2;14,3;Reported;Garbutt N. Mammals of Madagascar a Complete Guide (2007);NA;NA;Occurs only on isolated islands;LC;No;0;0;100;Transformed 000 Species;Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.;391119,4764;Chaerephon jobimena;Chaerephon jobimena;2.1;Site/area management;2 Land/water management;LC;no
414;Chaerephon_nigeriae;0,000324747;6,494622712;6,494947459;2490;713;806;9,072252111;10,39684887;5,48E-06;7,93E-06;6,494755;89,58496517;Chiroptera;Molossidae;Chaerephon;nigeriae;0;0;0;1;Taxonomic;PHYLACINE 1.2;19,8;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5708481,882;Chaerephon nigeriae;Chaerephon nigeriae;none;none;None;LC;no
415;Chaerephon_plicatus;0,000252309;5,045919792;5,046172101;2693;998;1145;7,779984218;8,815289867;3,86E-06;5,58E-06;4,958155;89,58086712;Chiroptera;Molossidae;Chaerephon;plicatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;17,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4348876,083;Chaerephon plicatus;Chaerephon plicatus;1.1;Site/area protection;1 Land/water protection;LC;no
416;Chaerephon_plicatus;0,000252309;5,045919792;5,046172101;2693;998;1145;7,779984218;8,815289867;3,86E-06;5,58E-06;4,958155;89,58086712;Chiroptera;Molossidae;Chaerephon;plicatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;17,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4348876,083;Chaerephon plicatus;Chaerephon plicatus;1.2;Resource & habitat protection;1 Land/water protection;LC;no
417;Chaerephon_plicatus;0,000252309;5,045919792;5,046172101;2693;998;1145;7,779984218;8,815289867;3,86E-06;5,58E-06;4,958155;89,58086712;Chiroptera;Molossidae;Chaerephon;plicatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;17,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4348876,083;Chaerephon plicatus;Chaerephon plicatus;2.1;Site/area management;2 Land/water management;LC;no
418;Chaerephon_plicatus;0,000252309;5,045919792;5,046172101;2693;998;1145;7,779984218;8,815289867;3,86E-06;5,58E-06;4,958155;89,58086712;Chiroptera;Molossidae;Chaerephon;plicatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;17,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4348876,083;Chaerephon plicatus;Chaerephon plicatus;3.1;Species management;3 Species management;LC;no
419;Chaerephon_plicatus;0,000252309;5,045919792;5,046172101;2693;998;1145;7,779984218;8,815289867;3,86E-06;5,58E-06;4,958155;89,58086712;Chiroptera;Molossidae;Chaerephon;plicatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;17,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4348876,083;Chaerephon plicatus;Chaerephon plicatus;3.1.1;Harvest management;3 Species management;LC;no
420;Chaerephon_plicatus;0,000252309;5,045919792;5,046172101;2693;998;1145;7,779984218;8,815289867;3,86E-06;5,58E-06;4,958155;89,58086712;Chiroptera;Molossidae;Chaerephon;plicatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;17,1;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;4348876,083;Chaerephon plicatus;Chaerephon plicatus;4.3;Awareness & communications;4 Education & awareness;LC;no
421;Chaerephon_pumilus;0,000222297;4,445712073;4,445934369;2825;1190;1353;7,641066654;7,553464883;3,13E-06;4,54E-06;4,226525;89,57995766;Chiroptera;Molossidae;Chaerephon;pumilus;0;0;0;1;Taxonomic;PHYLACINE 1.2;11,3;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;9805924,016;Chaerephon pumilus;Chaerephon pumilus;none;none;None;LC;no
422;Chaetocauda_sichuanensis;4,3391691;5,9921859;10,331355;108;790;404;13,8031711;14,69117252;9,58E-05;0,000125097;10,331355;88,17376363;Rodentia;Gliridae;Chaetocauda;sichuanensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;30,3;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;DD;No;70;20;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;27937,10546;Chaetocauda sichuanensis;Chaetocauda sichuanensis;none;none;None;EN;no
423;Chaetodipus_arenarius;0,000321766;6,434991697;6,435313463;2498;722;815;9,319984689;8,330609826;1,66E-05;2,24E-05;6,435265;87,1349436;Rodentia;Heteromyidae;Chaetodipus;arenarius;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;23;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;297995,7916;Chaetodipus arenarius;Chaetodipus arenarius;none;none;None;LC;no
424;Chaetodipus_baileyi;0,000202622;4,052240608;4,05244323;2938,5;1334,5;1529,5;9,879136493;10,16015993;3,42E-05;4,56E-05;4,052055;87,14177138;Rodentia;Heteromyidae;Chaetodipus;baileyi;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;26,4;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;456306,0558;Chaetodipus baileyi;Chaetodipus baileyi;none;none;None;LC;no
425;Chaetodipus_californicus;0,000351385;7,027354576;7,027705961;2428;624;714;9,429600596;8,796400842;1,67E-05;2,26E-05;7,02769;87,13512567;Rodentia;Heteromyidae;Chaetodipus;californicus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;22;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;297995,7916;Chaetodipus californicus;Chaetodipus californicus;none;none;None;LC;no
426;Chaetodipus_fallax;0,000356556;7,130759652;7,131116208;2423;618;701;9,598803755;8,7286086;1,71E-05;2,31E-05;7,1311;87,13502783;Rodentia;Heteromyidae;Chaetodipus;fallax;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;18,7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;195559,7382;Chaetodipus fallax;Chaetodipus fallax;none;none;None;LC;no
427;Chaetodipus_formosus;0,000633864;12,67664114;12,677275;2113;185;218;13,94252148;16,32514095;5,46E-05;7,29E-05;12,677275;87,14253356;Rodentia;Heteromyidae;Chaetodipus;formosus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;19,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;633241,0571;Chaetodipus formosus;Chaetodipus formosus;none;none;None;LC;no
428;Chaetodipus_hispidus;0,00060414;12,08219586;12,0828;2133;217;262;13,42198742;15,76818595;5,01E-05;6,67E-05;12,0828;87,14202215;Rodentia;Heteromyidae;Chaetodipus;hispidus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;32;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;2961333,179;Chaetodipus hispidus;Chaetodipus hispidus;none;none;None;LC;no
429;Chaetodipus_intermedius;0,000270821;5,41614931;5,416420131;2626;906;1036;7,814004512;6,757052445;1,05E-05;1,43E-05;5,41642;87,13271062;Rodentia;Heteromyidae;Chaetodipus;intermedius;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;16,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;810176,0583;Chaetodipus intermedius;Chaetodipus intermedius;none;none;None;LC;no
430;Chaetodipus_nelsoni;0,00025334;5,066541792;5,066795132;2689;992;1140;7,629702799;6,487035044;9,82E-06;1,33E-05;5,066795;87,13320791;Rodentia;Heteromyidae;Chaetodipus;nelsoni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;15,8;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;772926,5844;Chaetodipus nelsoni;Chaetodipus nelsoni;none;none;None;LC;no
431;Chaetodipus_rudinoris;0,000202622;4,052240608;4,05244323;2938,5;1334,5;1529,5;9,879136493;10,16015993;3,42E-05;4,56E-05;4,052055;87,14177138;Rodentia;Heteromyidae;Chaetodipus;rudinoris;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;26;Imputed;PHYLACINE 1.2;NA;NA;Occurs on mainland;LC;No;100;0;0;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;335245,2655;Chaetodipus rudinoris;Chaetodipus rudinoris;none;none;None;LC;no
432;Chaetodipus_spinatus;0,000453576;9,071056425;9,07151;2289;417;486;10,70838462;10,67571199;2,18E-05;2,94E-05;9,07151;87,1356262;Rodentia;Heteromyidae;Chaetodipus;spinatus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;16,4;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;90;0;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;353870,0025;Chaetodipus spinatus;Chaetodipus spinatus;none;none;None;LC;no
433;Chaetomys_subspinosus;1,2947725;24,6006775;25,89545;428;42;36;26,97765679;34,98884347;0,000214718;0,000286337;25,89545;87,42491712;Rodentia;Erethizontidae;Chaetomys;subspinosus;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;1300;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;VU;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;297995,7916;Chaetomys subspinosus;Chaetomys subspinosus;1.1;Site/area protection;1 Land/water protection;VU;no
