;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;code;title;species_currentIUCN.y;conservation_classification;Imputed.Status;introduced
11;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;2.1;Site/area management;Acerodon jubatus;2 Land/water management;EN;no
12;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;2.3;Habitat & natural process restoration;Acerodon jubatus;2 Land/water management;EN;no
13;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;3.1;Species management;Acerodon jubatus;3 Species management;EN;no
14;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;3.1.1;Harvest management;Acerodon jubatus;3 Species management;EN;no
15;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;3.1.2;Trade management;Acerodon jubatus;3 Species management;EN;no
16;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;4.1;Formal education;Acerodon jubatus;4 Education & awareness;EN;no
17;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;4.2;Training;Acerodon jubatus;4 Education & awareness;EN;no
18;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;4.3;Awareness & communications;Acerodon jubatus;4 Education & awareness;EN;no
19;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;5.1;Legislation;Acerodon jubatus;5 Law & policy;EN;no
20;Acerodon_jubatus;0,785058204;1,084127996;1,8691862;592;3986;3185;3,562961305;3,520013114;6,50E-06;8,22E-06;1,73008;90,07584371;Chiroptera;Pteropodidae;Acerodon;jubatus;0;0;0;1;Taxonomic;PHYLACINE 1.2;1075;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;642553,4256;Acerodon jubatus;5.1.2;National level;Acerodon jubatus;5 Law & policy;EN;no
