;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;code;title;species_currentIUCN.y;conservation_classification;Imputed.Status;introduced
961;Crocidura_picea;0,331343822;0,457570039;0,788913861;850;4978;4757;2,894901152;2,18518695;1,34E-06;1,79E-06;0,757995;91,9222719;Eulipotyphla;Soricidae;Crocidura;picea;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;12,5;Reported;Happold M, Happold DCD (2013) Mammals of Africa, Volume IV. pp. 122-123. R. Hutterer 2013. Crocidura picea;NA;NA;Occurs on mainland;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;37249,47395;Crocidura picea;2.1;Site/area management;Crocidura picea;2 Land/water management;EN;no
962;Crocidura_polia;0,480402374;0,663412803;1,143815177;739;4672;4194;3,805445507;3,504851477;2,87E-06;3,78E-06;1,14368;91,91948373;Eulipotyphla;Soricidae;Crocidura;polia;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,9;Assumed isometric based on head-body length;Bulletin of the American Musem of Natural History 237: 1-219 (1998);Crocidura_ludia;Bulletin of the American Musem of Natural History 237: 1-219 (1998);Occurs on mainland;DD;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;9312,368487;Crocidura polia;none;none;Crocidura polia;None;EN;no
963;Crocidura_raineyi;0,306495469;0,423255648;0,729751117;876;5032;4859;2,774369249;2,25463066;1,42E-06;1,86E-06;0,68526;91,94085168;Eulipotyphla;Soricidae;Crocidura;raineyi;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;14,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;DD;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;9312,368487;Crocidura raineyi;2.1;Site/area management;Crocidura raineyi;2 Land/water management;EN;no
964;Crocidura_stenocephala;0,254373137;0,351277189;0,605650327;936;5120;5059;2,493822429;1,820360962;1,50E-06;1,98E-06;0,55751;91,92460122;Eulipotyphla;Soricidae;Crocidura;stenocephala;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;21;Reported;Global Ecology and Biogeography 18 :19-29 (2009);NA;NA;Occurs on mainland;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;27937,10546;Crocidura stenocephala;1.1;Site/area protection;Crocidura stenocephala;1 Land/water protection;EN;no
965;Crocidura_stenocephala;0,254373137;0,351277189;0,605650327;936;5120;5059;2,493822429;1,820360962;1,50E-06;1,98E-06;0,55751;91,92460122;Eulipotyphla;Soricidae;Crocidura;stenocephala;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;21;Reported;Global Ecology and Biogeography 18 :19-29 (2009);NA;NA;Occurs on mainland;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;27937,10546;Crocidura stenocephala;2.1;Site/area management;Crocidura stenocephala;2 Land/water management;EN;no
966;Crocidura_susiana;0,30494018;0,421107868;0,726048048;879;5035;4864;2,834431091;2,111118739;1,61E-06;2,13E-06;0,66011;91,93529825;Eulipotyphla;Soricidae;Crocidura;susiana;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;13,1;Assumed isometric based on head-body length;Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009);Crocidura_viaria;Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009);Occurs on mainland;DD;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;27937,10546;Crocidura susiana;none;none;Crocidura susiana;None;EN;no
967;Crocidura_tansaniana;0,301598202;0,416492755;0,718090957;882;5040;4883;2,661628039;1,916207069;1,21E-06;1,59E-06;0,668655;91,91563402;Eulipotyphla;Soricidae;Crocidura;tansaniana;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;19;Assumed isometric based on head-body length;Bonner Zoologische Beiträge 37: 23-33 (1987);Crocidura_telfordi;Bonner Zoologische Beiträge 37: 23-33 (1987);Occurs on mainland;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;27937,10546;Crocidura tansaniana;none;none;Crocidura tansaniana;None;EN;no
968;Crocidura_tarella;0,151599133;0,209351184;0,360950317;1080;5244;5339;1,649067025;0,973984415;2,37E-07;3,10E-07;0,35657;91,87993591;Eulipotyphla;Soricidae;Crocidura;tarella;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;16,4;Assumed isometric based on head-body length;Happold M, Happold DCD (2013) Mammals of Africa, Volume IV. pp. 135-136. P. D. Jenkins & S. Churchfield 2013. Crocidura tarella;Crocidura_turba;Annals and Magazine of Natural History  8, 16: 66-79 124-146, 357-380, 506-514 (1915);Occurs on mainland;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;27937,10546;Crocidura tarella;2.1;Site/area management;Crocidura tarella;2 Land/water management;EN;no
969;Crocidura_thomensis;0,307005781;0,423960364;0,730966144;875;5031;4856;2,811854312;2,036896029;1,52E-06;2,04E-06;0,66159;91,93968401;Eulipotyphla;Soricidae;Crocidura;thomensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;10,7;Imputed;PHYLACINE 1.2;NA;NA;Occurs only on isolated islands;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Crocidura thomensis;1.1;Site/area protection;Crocidura thomensis;1 Land/water protection;EN;no
970;Crocidura_thomensis;0,307005781;0,423960364;0,730966144;875;5031;4856;2,811854312;2,036896029;1,52E-06;2,04E-06;0,66159;91,93968401;Eulipotyphla;Soricidae;Crocidura;thomensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;10,7;Imputed;PHYLACINE 1.2;NA;NA;Occurs only on isolated islands;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Crocidura thomensis;2.1;Site/area management;Crocidura thomensis;2 Land/water management;EN;no
971;Crocidura_trichura;1,565086207;0,048404728;1,613490935;358;5407;3493;3,15555272;3,152395131;2,21E-06;2,88E-06;1,607725;91,92095792;Eulipotyphla;Soricidae;Crocidura;trichura;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,3;Reported;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Crocidura trichura;2.1;Site/area management;Crocidura trichura;2 Land/water management;CR;no
972;Crocidura_trichura;1,565086207;0,048404728;1,613490935;358;5407;3493;3,15555272;3,152395131;2,21E-06;2,88E-06;1,607725;91,92095792;Eulipotyphla;Soricidae;Crocidura;trichura;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,3;Reported;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Crocidura trichura;2.2;Invasive/problematic species control;Crocidura trichura;2 Land/water management;CR;no
973;Crocidura_trichura;1,565086207;0,048404728;1,613490935;358;5407;3493;3,15555272;3,152395131;2,21E-06;2,88E-06;1,607725;91,92095792;Eulipotyphla;Soricidae;Crocidura;trichura;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,3;Reported;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Crocidura trichura;3.2;Species recovery;Crocidura trichura;3 Species management;CR;no
974;Crocidura_trichura;1,565086207;0,048404728;1,613490935;358;5407;3493;3,15555272;3,152395131;2,21E-06;2,88E-06;1,607725;91,92095792;Eulipotyphla;Soricidae;Crocidura;trichura;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,3;Reported;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Crocidura trichura;3.4;Ex-situ conservation;Crocidura trichura;3 Species management;CR;no
975;Crocidura_trichura;1,565086207;0,048404728;1,613490935;358;5407;3493;3,15555272;3,152395131;2,21E-06;2,88E-06;1,607725;91,92095792;Eulipotyphla;Soricidae;Crocidura;trichura;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,3;Reported;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Crocidura trichura;3.4.1;Captive breeding/artificial propagation;Crocidura trichura;3 Species management;CR;no
976;Crocidura_trichura;1,565086207;0,048404728;1,613490935;358;5407;3493;3,15555272;3,152395131;2,21E-06;2,88E-06;1,607725;91,92095792;Eulipotyphla;Soricidae;Crocidura;trichura;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;5,3;Reported;Van Dyck S, Straham R. The Mammals of Australia Third edition (2008);NA;NA;Occurs only on isolated islands;CR;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;0;Crocidura trichura;4.3;Awareness & communications;Crocidura trichura;4 Education & awareness;CR;no
977;Crocidura_usambarae;0,355701375;0,491206661;0,846908036;832;4930;4651;3,046299472;2,204529992;1,45E-06;1,89E-06;0,726775;91,9195148;Eulipotyphla;Soricidae;Crocidura;usambarae;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9,7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;EN;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;46561,84243;Crocidura usambarae;none;none;Crocidura usambarae;None;EN;no
978;Crocidura_wimmeri;1,429457105;0,044210014;1,473667119;395;5418;3685;4,229642283;4,023064066;3,42E-06;4,46E-06;1,47366;91,94483089;Eulipotyphla;Soricidae;Crocidura;wimmeri;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;23,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;CR;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Crocidura wimmeri;1.1;Site/area protection;Crocidura wimmeri;1 Land/water protection;CR;no
979;Crocidura_wimmeri;1,429457105;0,044210014;1,473667119;395;5418;3685;4,229642283;4,023064066;3,42E-06;4,46E-06;1,47366;91,94483089;Eulipotyphla;Soricidae;Crocidura;wimmeri;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;23,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;CR;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18624,73697;Crocidura wimmeri;2.1;Site/area management;Crocidura wimmeri;2 Land/water management;CR;no
980;Crocidura_wuchihensis;0,078730752;1,495884288;1,574615039;1274;3350;3536;3,051605359;2,933666068;1,90E-06;2,51E-06;1,493075;91,91667805;Eulipotyphla;Soricidae;Crocidura;wuchihensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;4,8;Reported;Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008);NA;NA;Occurs on large land bridge islands;DD;No;0;50;50;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;18624,73697;Crocidura wuchihensis;1.1;Site/area protection;Crocidura wuchihensis;1 Land/water protection;VU;no
981;Crocidura_wuchihensis;0,078730752;1,495884288;1,574615039;1274;3350;3536;3,051605359;2,933666068;1,90E-06;2,51E-06;1,493075;91,91667805;Eulipotyphla;Soricidae;Crocidura;wuchihensis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;4,8;Reported;Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008);NA;NA;Occurs on large land bridge islands;DD;No;0;50;50;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;18624,73697;Crocidura wuchihensis;2.1;Site/area management;Crocidura wuchihensis;2 Land/water management;VU;no
982;Crocidura_zimmermanni;0,14756575;2,803749255;2,951315005;1087;2027;2175;4,709171679;5,939129483;6,56E-06;8,61E-06;2,94336;91,95372481;Eulipotyphla;Soricidae;Crocidura;zimmermanni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;7,5;Reported;Aulagnier S, Haffner P, Mitchell-Jones AJ, Moutou F, Zima, J. The Mammals of Europe, North Africa and the Middle East (2009);NA;NA;Occurs only on isolated islands;VU;No;0;50;50;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;55874,21092;Crocidura zimmermanni;none;none;Crocidura zimmermanni;None;VU;no
983;Crunomys_melanius;0,105827984;2,010731704;2,116559688;1183;2750;2921;4,928084301;4,624804796;3,82E-07;5,42E-07;2,11407;76,58933139;Rodentia;Muridae;Crunomys;melanius;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;42,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;8;1;91;Imputed 000 Species;PHYLACINE 1.2;111748,4218;Crunomys melanius;none;none;Crunomys melanius;None;VU;no
984;Crunomys_suncoides;0,101459917;1,927738419;2,029198336;1204;2839;3029;4,700614947;4,302780131;3,86E-07;5,46E-07;2,022155;76,58942012;Rodentia;Muridae;Crunomys;suncoides;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;37;Reported;Fieldiana Zoology 89: 1-24 (1998);NA;NA;Occurs only on isolated islands;DD;No;0;0;100;Transformed 000 Species;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;18624,73697;Crunomys suncoides;none;none;Crunomys suncoides;None;VU;no
985;Cryptochloris_wintoni;4,026268435;0,124523766;4,150792201;120;5318;1471;8,457757053;10,29213883;0,000814846;0,000929385;2,11624;106,671829;Afrosoricida;Chrysochloridae;Cryptochloris;wintoni;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;24,9;Reported;Global Ecology and Biogeography 18 :19-29 (2009);NA;NA;Occurs on mainland;CR;No;0;60;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;0;Cryptochloris wintoni;1.1;Site/area protection;Cryptochloris wintoni;1 Land/water protection;CR;no
986;Cryptochloris_zyli;2,729758859;3,769666996;6,499425854;184;1481;805;8,457757053;10,29213883;0,000814846;0,000929385;2,11624;106,671829;Afrosoricida;Chrysochloridae;Cryptochloris;zyli;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;24,9;Reported;Global Ecology and Biogeography 18 :19-29 (2009);NA;NA;Occurs on mainland;EN;No;0;60;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;37249,47395;Cryptochloris zyli;1.1;Site/area protection;Cryptochloris zyli;1 Land/water protection;EN;no
987;Cryptochloris_zyli;2,729758859;3,769666996;6,499425854;184;1481;805;8,457757053;10,29213883;0,000814846;0,000929385;2,11624;106,671829;Afrosoricida;Chrysochloridae;Cryptochloris;zyli;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;24,9;Reported;Global Ecology and Biogeography 18 :19-29 (2009);NA;NA;Occurs on mainland;EN;No;0;60;40;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;37249,47395;Cryptochloris zyli;2.1;Site/area management;Cryptochloris zyli;2 Land/water management;EN;no
988;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;2.1;Site/area management;Cryptoprocta ferox;2 Land/water management;VU;no
989;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;3.1;Species management;Cryptoprocta ferox;3 Species management;VU;no
990;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;3.1.1;Harvest management;Cryptoprocta ferox;3 Species management;VU;no
991;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;4.3;Awareness & communications;Cryptoprocta ferox;4 Education & awareness;VU;no
992;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.1;Legislation;Cryptoprocta ferox;5 Law & policy;VU;no
993;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.1.2;National level;Cryptoprocta ferox;5 Law & policy;VU;no
994;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.1.3;Sub-national level;Cryptoprocta ferox;5 Law & policy;VU;no
995;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.2;Policies and regulations;Cryptoprocta ferox;5 Law & policy;VU;no
996;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.4;Compliance and enforcement;Cryptoprocta ferox;5 Law & policy;VU;no
997;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.4.2;National level;Cryptoprocta ferox;5 Law & policy;VU;no
998;Cryptoprocta_ferox;0,825156752;15,67797828;16,50313503;579;108;115;13,1546764;13,63819652;7,17E-05;9,41E-05;7,303765;92,9900498;Carnivora;Eupleridae;Cryptoprocta;ferox;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;9500;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;VU;No;0;90;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;819488,4268;Cryptoprocta ferox;5.4.3;Sub-national level;Cryptoprocta ferox;5 Law & policy;VU;no
999;Cryptotis_endersi;1,001864294;1,383526882;2,385391176;532;3534;2676;5,557942635;5,383970153;1,56E-05;2,01E-05;2,176355;92,41167426;Eulipotyphla;Soricidae;Cryptotis;endersi;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;8;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;EN;No;0;50;50;Transformed 000 Genus;Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.;9312,368487;Cryptotis endersi;2.1;Site/area management;Cryptotis endersi;2 Land/water management;EN;no
